"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2009"	"2009"	Suppressed	54135	Suppressed
	"Autauga County, AL"	"01001"	"2010"	"2010"	Suppressed	54571	Suppressed
	"Autauga County, AL"	"01001"	"2011"	"2011"	Suppressed	55267	Suppressed
	"Autauga County, AL"	"01001"	"2012"	"2012"	Suppressed	55514	Suppressed
	"Autauga County, AL"	"01001"	"2013"	"2013"	Suppressed	55246	Suppressed
	"Autauga County, AL"	"01001"	"2014"	"2014"	Suppressed	55395	Suppressed
	"Autauga County, AL"	"01001"	"2015"	"2015"	Suppressed	55347	Suppressed
	"Autauga County, AL"	"01001"	"2016"	"2016"	Suppressed	55416	Suppressed
	"Baldwin County, AL"	"01003"	"2009"	"2009"	32	179406	17.8
	"Baldwin County, AL"	"01003"	"2010"	"2010"	26	182265	14.3
	"Baldwin County, AL"	"01003"	"2011"	"2011"	24	186717	12.9
	"Baldwin County, AL"	"01003"	"2012"	"2012"	34	190790	17.8
	"Baldwin County, AL"	"01003"	"2013"	"2013"	23	195540	11.8
	"Baldwin County, AL"	"01003"	"2014"	"2014"	40	200111	20.0
	"Baldwin County, AL"	"01003"	"2015"	"2015"	43	203709	21.1
	"Baldwin County, AL"	"01003"	"2016"	"2016"	34	208563	16.3
	"Barbour County, AL"	"01005"	"2009"	"2009"	Suppressed	27657	Suppressed
	"Barbour County, AL"	"01005"	"2010"	"2010"	Suppressed	27457	Suppressed
	"Barbour County, AL"	"01005"	"2011"	"2011"	Suppressed	27119	Suppressed
	"Barbour County, AL"	"01005"	"2012"	"2012"	Suppressed	27201	Suppressed
	"Barbour County, AL"	"01005"	"2013"	"2013"	Suppressed	27076	Suppressed
	"Barbour County, AL"	"01005"	"2014"	"2014"	Suppressed	26887	Suppressed
	"Barbour County, AL"	"01005"	"2015"	"2015"	Suppressed	26489	Suppressed
	"Barbour County, AL"	"01005"	"2016"	"2016"	Suppressed	25965	Suppressed
	"Bibb County, AL"	"01007"	"2009"	"2009"	Suppressed	22941	Suppressed
	"Bibb County, AL"	"01007"	"2010"	"2010"	Suppressed	22915	Suppressed
	"Bibb County, AL"	"01007"	"2011"	"2011"	Suppressed	22766	Suppressed
	"Bibb County, AL"	"01007"	"2012"	"2012"	Suppressed	22597	Suppressed
	"Bibb County, AL"	"01007"	"2013"	"2013"	Suppressed	22512	Suppressed
	"Bibb County, AL"	"01007"	"2014"	"2014"	Suppressed	22506	Suppressed
	"Bibb County, AL"	"01007"	"2015"	"2015"	Suppressed	22583	Suppressed
	"Bibb County, AL"	"01007"	"2016"	"2016"	Suppressed	22643	Suppressed
	"Blount County, AL"	"01009"	"2009"	"2009"	11	57341	Unreliable
	"Blount County, AL"	"01009"	"2010"	"2010"	10	57322	Unreliable
	"Blount County, AL"	"01009"	"2011"	"2011"	Suppressed	57677	Suppressed
	"Blount County, AL"	"01009"	"2012"	"2012"	18	57826	Unreliable
	"Blount County, AL"	"01009"	"2013"	"2013"	13	57872	Unreliable
	"Blount County, AL"	"01009"	"2014"	"2014"	12	57719	Unreliable
	"Blount County, AL"	"01009"	"2015"	"2015"	11	57673	Unreliable
	"Blount County, AL"	"01009"	"2016"	"2016"	15	57704	Unreliable
	"Bullock County, AL"	"01011"	"2009"	"2009"	Suppressed	10987	Suppressed
	"Bullock County, AL"	"01011"	"2010"	"2010"	Suppressed	10914	Suppressed
	"Bullock County, AL"	"01011"	"2011"	"2011"	Suppressed	10542	Suppressed
	"Bullock County, AL"	"01011"	"2012"	"2012"	Suppressed	10474	Suppressed
	"Bullock County, AL"	"01011"	"2013"	"2013"	Suppressed	10639	Suppressed
	"Bullock County, AL"	"01011"	"2014"	"2014"	Suppressed	10764	Suppressed
	"Bullock County, AL"	"01011"	"2015"	"2015"	Suppressed	10696	Suppressed
	"Bullock County, AL"	"01011"	"2016"	"2016"	Suppressed	10362	Suppressed
	"Butler County, AL"	"01013"	"2009"	"2009"	Suppressed	20867	Suppressed
	"Butler County, AL"	"01013"	"2010"	"2010"	Suppressed	20947	Suppressed
	"Butler County, AL"	"01013"	"2011"	"2011"	Suppressed	20650	Suppressed
	"Butler County, AL"	"01013"	"2012"	"2012"	Suppressed	20307	Suppressed
	"Butler County, AL"	"01013"	"2013"	"2013"	Suppressed	20265	Suppressed
	"Butler County, AL"	"01013"	"2014"	"2014"	Suppressed	20296	Suppressed
	"Butler County, AL"	"01013"	"2015"	"2015"	Suppressed	20154	Suppressed
	"Butler County, AL"	"01013"	"2016"	"2016"	Suppressed	19998	Suppressed
	"Calhoun County, AL"	"01015"	"2009"	"2009"	17	118363	Unreliable
	"Calhoun County, AL"	"01015"	"2010"	"2010"	21	118572	17.7
	"Calhoun County, AL"	"01015"	"2011"	"2011"	15	117797	Unreliable
	"Calhoun County, AL"	"01015"	"2012"	"2012"	Suppressed	117296	Suppressed
	"Calhoun County, AL"	"01015"	"2013"	"2013"	Suppressed	116736	Suppressed
	"Calhoun County, AL"	"01015"	"2014"	"2014"	19	115916	Unreliable
	"Calhoun County, AL"	"01015"	"2015"	"2015"	22	115620	19.0
	"Calhoun County, AL"	"01015"	"2016"	"2016"	16	114611	Unreliable
	"Chambers County, AL"	"01017"	"2009"	"2009"	Suppressed	34384	Suppressed
	"Chambers County, AL"	"01017"	"2010"	"2010"	Suppressed	34215	Suppressed
	"Chambers County, AL"	"01017"	"2011"	"2011"	Suppressed	33939	Suppressed
